channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,template,use_R,beta_R,n_events,s1,s2,s_penalty,BI,J_final,n_trials,train_s
71,11,3.0,0.004643936,0.0001296185073442757,35.82772445678711,1508.9078740014195,54060.7355403993,1.3566651344299316,sim,0,,38,0.0400960579566077,0.03181768423539723,wna:1.0,8.459005039512457e-05,0.3185163140296936,500,2176.7
71,13,4.0,0.004298046000000001,0.00010439966717967764,41.16915512084961,1588.8736425100337,65412.58545592493,0.7986950278282166,sim,0,,39,0.04058455960441103,0.029229258742856305,wna:1.0,7.306759345318777e-05,0.2751295268535614,500,2855.5
71,25,26.0,0.001679975,4.045665264129639e-05,41.52531051635742,2628.267505678598,109139.62429335597,1.659461498260498,sim,0,,38,0.039487048976735266,0.02767497198974578,wna:1.0,4.5103514210407115e-05,0.16983327269554138,500,2182.1
71,21,10.0,0.0030173459999999997,8.230554522015154e-05,36.66029739379883,2225.1592128911398,81574.9984931405,1.0011992454528809,sim,0,,37,0.042169570180291154,0.03064100335317325,wna:1.0,5.973385176451713e-05,0.22492250800132751,500,2947.8
71,23,20.0,0.002002852,4.813056511920877e-05,41.612892150878906,2521.1824038769587,104913.6914652255,1.292809247970581,sim,0,,37,0.04084729843963619,0.027894255893021136,wna:1.0,4.641594750916809e-05,0.1747751235961914,500,2955.4
71,27,30.0,0.001507635,3.473936885711737e-05,43.39845657348633,2572.328323965225,111635.07906035369,1.766254186630249,sim,0,,38,0.039464505349499975,0.027053620557705455,wna:1.0,4.488211464903527e-05,0.16899961233139038,500,2181.1
71,17,6.0,0.003818313,9.955225687008351e-05,38.3548583984375,1861.3601939698679,71392.20666820245,0.8837164640426636,sim,0,,37,0.04051331247870737,0.029545487541207362,wna:1.0,6.97541190539272e-05,0.2626529335975647,500,3700.2
71,19,8.0,0.0033632650000000003,8.564603194827214e-05,39.26935958862305,1954.1333437090266,76737.56495822807,0.9127298593521118,sim,0,,38,0.04036446506624875,0.02891154483478441,wna:1.0,6.602615662587162e-05,0.24861562252044678,500,3704.7
71,15,5.0,0.004079936,0.00011163324234075844,36.54767990112305,1720.1802128138297,62868.59579016557,0.7573058009147644,sim,0,,38,0.04259099099912417,0.031086618847996662,wna:1.0,7.915189052587414e-05,0.29803940653800964,500,3709.8
83,1,0.6,0.0033347790000000004,8.301048364955932e-05,40.1729850769043,541.7358276385323,21763.145319347157,1.1342369318008423,sim,0,,37,0.05952216793739747,0.05478508790617422,wna:1.0,0.00015640344734834213,0.5889232754707336,500,2192.3
71,29,40.0,0.0012151240000000002,2.8576117983902805e-05,42.52236557006836,2630.0923394501074,111837.74794113378,1.8783925771713257,sim,0,,38,0.040300092542433115,0.02741327920527738,wna:1.0,4.436257797768111e-05,0.16704334318637848,500,2819.8
83,7,1.8,0.0032488990000000004,5.062552372692153e-05,64.17512512207031,644.4627690689018,41358.47884151268,4.567093372344971,sim,0,,39,0.03429848393187319,0.026688186732762166,wna:1.0,0.00010608147907157026,0.39944037795066833,500,2209.0
83,5,1.4,0.003395297,5.70671254536137e-05,59.49654769897461,609.9976860827057,36292.75642628384,3.469585418701172,sim,0,,36,0.0371987551526112,0.028601685943344404,wna:1.0,0.0001188075888607078,0.4473594129085541,500,2806.9
83,3,1.0,0.003472437,6.83945618220605e-05,50.770660400390625,581.2491820362769,29510.404829168645,2.6114518642425537,sim,0,,36,0.043797718005714754,0.035257546483668335,wna:1.0,0.00013543277025880026,0.5099600553512573,500,2809.4
83,15,5.0,0.002248808,2.8019258024869487e-05,80.25936889648438,820.1113798003357,65821.62176759995,5.431074619293213,sim,0,,38,0.032720963802411476,0.023513267723224585,wna:1.0,7.606615541016961e-05,0.2864203453063965,500,2210.6
83,11,3.0,0.002789885,3.6669112887466326e-05,76.08269500732422,708.1803607635179,53880.27039814757,4.511170387268066,sim,0,,38,0.0335841015105635,0.024701591152381314,wna:1.0,8.85829277310798e-05,0.3335511386394501,500,3775.0
