channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,BI,J_final
83,9,2.0,0.0031705730000000003,5.7356988691026345e-05,55.27788543701172,646.4629301298752,35735.10379099415,0.00011597370138532973,0.4366886615753174
83,21,10.0,0.001586739,2.332079384359531e-05,68.03966522216797,947.0139229033285,64434.51027507446,7.58872106175819e-05,0.2857465445995331
71,27,30.0,0.001507635,4.167229781160131e-05,36.17835235595703,2560.3118585214715,92627.864558725,5.117581646540289e-05,0.19269798696041107
71,29,40.0,0.0012151240000000002,3.410368299228139e-05,35.630287170410156,2672.342831944732,95216.34251997793,4.890669455329117e-05,0.18415381014347076
83,19,8.0,0.001788618,2.629724986036308e-05,68.0154037475586,900.9987455795388,61281.79345663615,7.92843994257593e-05,0.29853835701942444
83,17,6.0,0.002058808,3.068648948101327e-05,67.0916748046875,836.0981261676362,56095.22358564763,8.529442439735127e-05,0.32116857171058655
83,29,40.0,0.000670369,1.3915398994868156e-05,48.174617767333984,1384.1330314405134,66680.079728788,6.278694245556651e-05,0.23641864955425262
83,27,30.0,0.000813756,1.5888481357251294e-05,51.21672821044922,1295.2227638038141,66337.07226572682,6.475682710615584e-05,0.24383607506752014
91,15,5.0,0.001194072,5.776072066510096e-05,20.672731399536133,810.8474037438372,16762.430583607573,0.0001638490196993135,0.6169589161872864
91,13,4.0,0.001322959,6.062336251488887e-05,21.822593688964844,763.2145269445244,16655.320519025867,0.00016408475288974352,0.6178465485572815
91,3,1.0,0.001998614,7.771659147692844e-05,25.716697692871094,555.0142405598025,14273.133439714875,0.0001752970858187667,0.6600655913352966
91,1,0.6,0.002080556,8.84269829839468e-05,23.528520584106445,506.88993984277397,11926.370383467185,0.00019092303677237222,0.7189037203788757
94,9,2.0,0.005277561000000001,0.00012194121518405154,43.2795524597168,753.28757485712,32601.94911328157,0.00012146859424910752,0.45737919211387634
91,11,3.0,0.0014831010000000001,6.248692807275802e-05,23.734580993652344,702.599512316988,16675.90503118819,0.00016312320461419415,0.6142259240150452
91,9,2.0,0.00169956,6.226721598068252e-05,27.294618606567383,587.378796729383,16032.280234312977,0.0001658770026404062,0.6245951056480408
91,25,26.0,0.00040550199999999997,3.8356542063411325e-05,10.57191276550293,1243.9492014068678,13150.92244199044,0.00017109843265626065,0.6442559361457825
83,23,20.0,0.001055093,1.7702517652651295e-05,59.60129928588867,1165.6047436229728,69471.55717372434,6.692114969062574e-05,0.251985639333725
83,25,26.0,0.0008937270000000001,1.6556496120756492e-05,53.980445861816406,1261.723215563883,68108.3817303431,6.417714617902416e-05,0.24165333807468414
91,5,1.4,0.001870085,6.815525557613e-05,27.438602447509766,556.0846978724194,15258.186952064894,0.00017031156311804644,0.6412930488586426
91,7,1.8,0.001754325,6.149301043478772e-05,28.528852462768555,555.504822683855,15847.915128704106,0.0001672780100102826,0.6298704743385315
91,23,20.0,0.0005004920000000001,3.943773117498495e-05,12.690689086914062,1116.390317734839,14167.762422014044,0.00016779971928305943,0.6318349242210388
91,21,10.0,0.000809598,5.4706466471543536e-05,14.798945426940918,1002.856751090892,14841.222330433382,0.00016878284319240926,0.635536789894104
94,7,1.8,0.005544293,0.00012380490079522133,44.782501220703125,720.7740640997819,32278.065405399633,0.00012155879876063488,0.4577188491821289
94,3,1.0,0.00513821,0.00017929874593392015,28.657255172729492,6337.413586218202,181612.87827537773,1.9174018817959614e-05,0.0721980631351471
91,17,6.0,0.001091107,5.5562071793247014e-05,19.637622833251953,839.9081251688347,16493.79897664935,0.0001655512311483937,0.6233684420585632
91,19,8.0,0.000927844,5.711121775675565e-05,16.246265411376953,943.5788193468604,15329.631935662801,0.0001674719532717081,0.6306007504463196
94,23,20.0,0.001740796,8.21166904643178e-05,21.199052810668945,1903.8843274094165,40360.544402157146,7.506524703671503e-05,0.28265151381492615
94,25,26.0,0.0014555610000000002,8.041058026719838e-05,18.101612091064453,2129.8325214175356,38553.40212163395,7.600111191839706e-05,0.2861754298210144
94,17,6.0,0.003369602,0.00010108044079970568,33.33584213256836,1164.9188574632956,38833.551129648324,9.200114605466722e-05,0.34642213582992554
94,15,5.0,0.003596281,9.968435915652663e-05,36.076683044433594,1080.6090934964313,38984.791761003464,9.509631556343489e-05,0.35807672142982483
91,29,40.0,0.000280232,3.1168940040515736e-05,8.990744590759277,1455.9083316136964,13089.699957097206,0.0001679375627307001,0.6323539614677429
91,27,30.0,0.00035906,3.583921352401376e-05,10.018635749816895,1266.0432893696002,12684.026559694052,0.00017187013751569216,0.6471617221832275
