channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_wiener,BI,J_final
40,25,26.0,0.001656598,6.832542567281052e-05,24.245702743530273,1631.9948731735,39568.86257393007,40.56270980834961,8.585017504979638e-05,0.32326120138168335
40,23,20.0,0.00189825,7.88160614320077e-05,24.084558486938477,1553.1613233042153,37407.20473077113,37.36496353149414,9.15915889209044e-05,0.34487998485565186
41,17,6.0,0.0011481570000000001,0.00019365632033441216,5.928838729858398,2331.4456127414396,13822.765045379892,3.316794163765735e-07,0.00014542031001858275,0.5475672483444214
41,19,8.0,0.001118979,0.0001698847336228937,6.586695194244385,2134.7204407948047,14060.752868438394,1.0323504966436303e-06,0.00014687407717382738,0.5530412793159485
41,21,10.0,0.0010694230000000001,0.00014790770364925265,7.230340480804443,2086.7139227847556,15087.652147768857,4.378325229481561e-06,0.00014588873713187883,0.5493310689926147
41,23,20.0,0.000817918,8.378899656236172e-05,9.761639595031738,1886.877907760979,18419.022095390217,0.08628483861684799,0.00014133414141498051,0.5321811437606812
40,27,30.0,0.001553855,6.272424798225984e-05,24.772796630859375,1664.9163963365872,41244.63529382954,40.28446960449219,8.213660165411395e-05,0.30927807092666626
40,29,40.0,0.001289217,5.092318679089658e-05,25.316896438598633,1747.8251346023605,44249.50792550768,52.073368072509766,7.57483382512347e-05,0.2852236330509186
41,25,26.0,0.000707622,6.668672722298652e-05,10.611136436462402,1903.728501335404,20200.722865652067,0.22953301668167114,0.00013519531165084696,0.5090659260749817
41,27,30.0,0.000650169,6.366588786477223e-05,10.212203025817871,1984.2885878090688,20263.957920519642,44.775325775146484,0.0001316493966010173,0.49571409821510315
41,29,40.0,0.0005437380000000001,4.813157647731714e-05,11.296908378601074,2021.2527098067462,22833.906672685956,158.21763610839844,0.00012061079263821557,0.4541492164134979
71,1,0.6,0.004321273,0.0002337299520149827,18.48831558227539,983.6577119093379,18186.17420271877,0.00024730534642003477,0.00015101601317132465,0.5686373710632324
71,5,1.4,0.005011591,0.00018016503599938005,27.816667556762695,1277.689197105877,35541.05563676122,0.48930245637893677,0.00011052061428007504,0.41615554690361023
71,3,1.0,0.004887824000000001,0.0001943086535902694,25.15494728088379,1142.2524094157664,28733.29914031609,0.04359963908791542,0.00011693527340515696,0.4403093755245209
71,7,1.8,0.004993932,0.0001835062721511349,27.213956832885742,1492.0439135437375,40604.41865594918,0.8675085306167603,9.944842007888405e-05,0.3744641840457916
71,9,2.0,0.00494817,0.0001797850418370217,27.522701263427734,1554.1538639948503,42774.51251613216,0.6602955460548401,9.612721295980578e-05,0.36195847392082214
71,13,4.0,0.004298046000000001,0.0001246361352968961,34.4847526550293,1669.978190575602,57588.78484129301,0.22262713313102722,7.540307270711272e-05,0.28392356634140015
71,11,3.0,0.004643936,0.00015184048970695585,30.584306716918945,1663.8032341689286,50886.26843042423,0.365273654460907,8.333425511377957e-05,0.3137877285480499
71,17,6.0,0.003818313,0.00011839609942398965,32.250328063964844,1923.6344395240478,62037.84174979168,0.33501335978507996,6.903549057023513e-05,0.2599470019340515
71,15,5.0,0.004079936,0.00013035425217822194,31.2988338470459,1875.4468689512985,58699.29994026916,0.18802708387374878,7.322713125601808e-05,0.2757302522659302
83,15,5.0,0.002248808,3.27275920426473e-05,68.71290588378906,781.0156365939979,53665.85393105098,2.834775447845459,8.472498912610905e-05,0.3190244138240814
83,13,4.0,0.002496163,3.7225239793770015e-05,67.05565643310547,729.3198023912813,48905.01809901013,2.2986717224121094,8.98418730866187e-05,0.33829158544540405
71,21,10.0,0.0030173459999999997,9.846820466918871e-05,30.642845153808594,2248.9065044427048,68912.89378103075,0.608977735042572,6.145050764928543e-05,0.23138642311096191
71,19,8.0,0.0033632650000000003,0.00010173237387789413,33.05992889404297,2036.2493974653617,67318.26029074269,0.337106317281723,6.431333939935468e-05,0.2421661615371704
83,3,1.0,0.003472437,8.361232903553173e-05,41.53020477294922,591.1852152617703,24552.043048561383,0.019238566979765892,0.0001302785840377985,0.4905524253845215
83,1,0.6,0.0033347790000000004,0.00010367605136707425,32.165374755859375,588.5976380751744,18932.463609101665,9.389346814714372e-05,0.00014764196711928535,0.5559327006340027
71,23,20.0,0.002002852,5.799613063572906e-05,34.53423309326172,2459.8312115676317,84948.38443035698,0.7895779609680176,5.250236969472145e-05,0.19769300520420074
71,25,26.0,0.001679975,4.8695714212954044e-05,34.49943923950195,2585.852437115157,89210.4590365724,0.9284420013427734,4.9981847326182656e-05,0.18820220232009888
71,27,30.0,0.001507635,4.167340011917986e-05,36.17739486694336,2560.311962039345,92625.41683325588,0.908313512802124,4.847142236662386e-05,0.18251483142375946
71,29,40.0,0.0012151240000000002,3.410458884900436e-05,35.62934112548828,2672.3429531365778,95213.81868159787,1.147209882736206,4.651242446742577e-05,0.17513839900493622
83,27,30.0,0.000813756,1.5888901543803513e-05,51.21537399291992,1295.2227878189356,66335.31948229915,6.693300247192383,6.140501757031697e-05,0.23121513426303864
83,25,26.0,0.0008937270000000001,1.6556934497202747e-05,53.97901153564453,1261.7232314169537,68106.57286344643,5.476773738861084,6.117776108707707e-05,0.23035942018032074
91,5,1.4,0.001870085,6.815706001361832e-05,27.437875747680664,556.0847842248619,15257.785214737572,3.0366916689672507e-05,0.00014971773937691766,0.563748836517334
91,3,1.0,0.001998614,7.771865057293326e-05,25.71601676940918,555.0142443434653,14272.755614797517,2.755770219664555e-05,0.00014862209924962688,0.5596233010292053
91,7,1.8,0.001754325,6.14946402492933e-05,28.52809715270996,555.5048909468942,15847.49749773855,4.8765901738079265e-05,0.00014924559232675944,0.5619710087776184
91,9,2.0,0.00169956,6.226886034710333e-05,27.293899536132812,587.3787177735762,16031.8557125745,5.810977381770499e-05,0.00014905889898483548,0.5612680315971375
83,29,40.0,0.000670369,1.391576552123297e-05,48.17334747314453,1384.1328045843522,66678.31054422006,7.099738597869873,5.9589027499190494e-05,0.22437718510627747
91,1,0.6,0.002080556,8.842932584229857e-05,23.527896881103516,506.88999129695,11926.055445298098,1.9763087038882077e-05,0.00015474445048493707,0.5826764702796936
83,5,1.4,0.003395297,6.900359585415572e-05,49.20463943481445,598.9889805534752,29473.036813560837,0.025588292628526688,0.00011637120434070736,0.4381854236125946
83,7,1.8,0.0032488990000000004,6.142611528048292e-05,52.89116668701172,630.1344225880948,33328.544780330805,0.31434130668640137,0.00011627235691204498,0.4378132224082947
83,17,6.0,0.002058808,3.068729711230844e-05,67.08991241455078,836.0981173891479,56093.74946560873,3.1907615661621094,8.121661377954995e-05,0.3058139383792877
