channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,template,BI,J_final
71,25,26.0,0.001679975,4.045665264129639e-05,41.52531051635742,2628.267505678598,109139.62429335597,sim,4.7534821412328695e-05,0.17898814380168915
71,27,30.0,0.001507635,3.473936885711737e-05,43.39845657348633,2572.328323965225,111635.07906035369,sim,4.76020929088389e-05,0.17924144864082336
71,29,40.0,0.0012151240000000002,2.8576117983902805e-05,42.52236557006836,2630.0923394501074,111837.74794113378,sim,4.7087938273795923e-05,0.1773054450750351
83,1,0.6,0.0033347790000000004,8.301048364955932e-05,40.1729850769043,541.7358276385323,21763.145319347157,sim,0.00015965112635369844,0.6011521220207214
91,1,0.6,0.002080556,7.241459388751537e-05,28.731170654296875,797.8533251351656,22923.260041556652,sim,0.00011697706333416147,0.4404667317867279
91,3,1.0,0.001998614,6.211977597558871e-05,32.17355728149414,621.4467507006982,19994.15263106732,sim,0.0001431429646715779,0.5389921069145203
91,7,1.8,0.001754325,5.12332990183495e-05,34.24189376831055,604.4090484750512,20696.110430488363,sim,0.00014423327025111317,0.5430975556373596
91,5,1.4,0.001870085,5.723529466195032e-05,32.67363357543945,611.4388464874846,19977.928823921447,sim,0.0001467755542502955,0.5526703000068665
91,15,5.0,0.001194072,4.792997060576454e-05,24.912843704223633,870.537859989046,21687.57364451642,sim,0.00013714984562581046,0.5164255499839783
91,13,4.0,0.001322959,5.01216491102241e-05,26.394962310791016,828.4418362718728,21866.691045078584,sim,0.00013608853972428138,0.5124292969703674
91,17,6.0,0.001091107,4.562981484923512e-05,23.912151336669922,886.3657775669385,21194.912612825745,sim,0.00014012090379429028,0.5276128053665161
91,23,20.0,0.0005004920000000001,3.248040593462065e-05,15.40904426574707,1131.5803810187938,17436.57218136953,sim,0.0001493346650277096,0.5623064041137695
91,9,2.0,0.00169956,5.227583460509777e-05,32.51138687133789,645.2218868389172,20977.058380874634,sim,0.00014201816657109534,0.5347567796707153
91,11,3.0,0.0014831010000000001,5.2088620577706024e-05,28.47264862060547,768.4158447827215,21878.834343004142,sim,0.00013613789616315867,0.5126151442527771
91,19,8.0,0.000927844,4.735560287372209e-05,19.593120574951172,998.206984309567,19557.98980233574,sim,0.0001427950951716524,0.5376822352409363
91,21,10.0,0.000809598,4.5092529035173357e-05,17.95414924621582,1042.318318050006,18713.938644334456,sim,0.00014659704476946826,0.5519981384277344
91,25,26.0,0.00040550199999999997,3.1747233151691034e-05,12.77283000946045,1254.3119125535177,16021.112837887302,sim,0.0001545051239937934,0.5817753076553345
91,27,30.0,0.00035906,2.9808355975546874e-05,12.045616149902344,1288.0126481601817,15514.90595595677,sim,0.0001544195971050012,0.581453263759613
83,19,8.0,0.001788618,2.1729108993895352e-05,82.31437683105469,936.4917480111303,77086.7346449613,sim,6.839138745993445e-05,0.25752168893814087
83,25,26.0,0.0008937270000000001,1.385552513966104e-05,64.5032958984375,1241.4861912730794,80079.95114951162,sim,6.359265307824953e-05,0.23945248126983643
83,23,20.0,0.001055093,1.4627768905484118e-05,72.12945556640625,1146.8964810103416,82725.01876630312,sim,6.458948139329467e-05,0.2432059496641159
83,21,10.0,0.001586739,1.941468144650571e-05,81.72882080078125,978.0369983558733,79933.81057516116,sim,6.671775620661853e-05,0.251219779253006
83,27,30.0,0.000813756,1.3130492334312294e-05,61.974525451660156,1277.3754182207285,79164.73536784558,sim,6.268363110266955e-05,0.23602963984012604
83,29,40.0,0.000670369,1.1541617823240813e-05,58.082759857177734,1378.518476808223,80068.15764713446,sim,5.9051694491592646e-05,0.22235390543937683
91,29,40.0,0.000280232,2.584914727776777e-05,10.84105396270752,1464.005726531558,15871.365083041446,sim,0.00015151166705654792,0.5705037117004395
