channel,wp,vbias,signal_amp,sigma_analytic,SNR,beta_Hz,rho_t,lambda_mean,lambda_median,lambda_min,lambda_max,BI,J_final
34,19,8.0,0.0018584769999999999,1.4692903278046288e-05,126.48807525634766,480.97896079920235,60838.10299028939,250.1960906982422,0.06422349810600281,0.017491044476628304,651304.8125,7.90401262100649e-05,0.297618567943573
34,17,6.0,0.002072425,1.7040667444234714e-05,121.6164321899414,437.5547029416881,53213.841859697764,107.65834045410156,0.05869969725608826,0.014134257100522518,119658.84375,8.617677759153338e-05,0.3244909942150116
34,15,5.0,0.002204652,1.9705672457348555e-05,111.8790512084961,430.2968113147432,48141.19898793474,79.09391021728516,0.06226031482219696,0.013103791512548923,81414.9296875,9.088288554535092e-05,0.34221142530441284
34,13,4.0,0.002317061,2.2700782210449688e-05,102.06964874267578,409.9647865536574,41844.96176039786,131.5805206298828,0.06506666541099548,0.012703894637525082,95546.1171875,9.916857002022085e-05,0.3734104335308075
34,11,3.0,0.0024210790000000005,2.385022526141256e-05,101.51178741455078,346.3073604766355,35154.279156798424,218.27439880371094,0.07122928649187088,0.01627032272517681,203133.875,0.00011034332367217708,0.41548797488212585
37,11,3.0,0.0042018129999999996,0.0002158107963623479,19.469892501831055,1094.5412181616323,21310.59985643019,21.981571197509766,0.11672693490982056,0.017927328124642372,28257.873046875,0.0001343852835269761,0.5060158371925354
37,9,2.0,0.00445749,0.0002841203531716019,15.688738822937012,1084.4547673405052,17013.72761009411,77.13119506835938,0.43675726652145386,6.703140797981177e-08,18927.705078125,0.0001432248824301379,0.5393005609512329
40,9,2.0,0.031419458,0.0016683385474607348,18.83278465270996,12948.39776928097,243854.38678649854,6317.58203125,65.94441986083984,0.011778176762163639,151638.328125,2.5822335487850077e-05,0.09723170846700668
40,7,1.8,0.038734442,0.0018424034351482987,21.023866653442383,13940.52142702382,293083.6635612051,5074.94482421875,48.77962112426758,0.014951005578041077,133683.359375,2.1592698021448103e-05,0.08130538463592529
40,23,20.0,0.00189825,7.88160614320077e-05,24.084558486938477,1553.1613233042153,37407.20473077113,14.627846717834473,0.6066154837608337,0.011623862199485302,11711.205078125,8.674913340895036e-05,0.3266461491584778
40,25,26.0,0.001656598,6.832542567281052e-05,24.245702743530273,1631.9948731735,39568.86257393007,16.623157501220703,0.6427578926086426,0.01050733495503664,645.84814453125,8.038919692953836e-05,0.30269837379455566
37,15,5.0,0.003915091,0.00014955090591683984,26.178985595703125,1012.6420593497377,26509.94188531993,4.619996070861816,0.07748986780643463,0.010587225668132305,2914.90771484375,0.00011301471322475368,0.4255468547344208
37,13,4.0,0.004053878,0.00017749835387803614,22.838960647583008,1033.4035396717406,23601.86277563587,4.72240686416626,0.12498679757118225,0.01326492615044117,9464.6689453125,0.00012296658116445598,0.4630197286605835
37,19,8.0,0.003516254,9.958921145880595e-05,35.307579040527344,997.8683770239749,35232.31659381673,6.903646469116211,0.0821303129196167,0.012156055308878422,6653.9765625,9.418455903852328e-05,0.3546435832977295
37,17,6.0,0.0037884570000000003,0.00012976826110389084,29.19401741027832,1017.5912206352514,29707.575811771898,8.843489646911621,0.09601004421710968,0.011975773610174656,14318.0029296875,0.00010486370629381194,0.39485496282577515
37,23,20.0,0.0024268420000000002,4.386356158647686e-05,55.327064514160156,1046.3959584597628,57894.01670105975,121.94954681396484,0.9811128973960876,0.018547264859080315,43591.4453125,7.961258491935253e-05,0.2997741103172302
37,25,26.0,0.002107207,3.526240470819175e-05,59.75789260864258,1100.5610362975585,65767.20821632589,30.030935287475586,0.11631541699171066,0.017225299030542374,32909.98046875,6.543915454640487e-05,0.24640531837940216
37,27,30.0,0.00192488,3.18187776429113e-05,60.495094299316406,1143.7407058349972,69190.70185345487,38.59712219238281,0.12841077148914337,0.01432569045573473,24912.265625,6.296048542494484e-05,0.23707211017608643
37,21,10.0,0.0032802950000000003,8.009265002328902e-05,40.95625686645508,985.4971371108438,40362.27388866782,18.058271408081055,0.09057377278804779,0.013582661747932434,39529.1640625,8.716408840854293e-05,0.3282086253166199
41,13,4.0,0.001172135,0.00021041659056209028,5.570544719696045,3688.7587087259158,20548.395347125952,41.80626678466797,2.0720465183258057,1.9114803251341073e-07,5951.61376953125,0.0001400680965203664,0.5274139642715454
41,15,5.0,0.00116883,0.00019650206377264112,5.948181629180908,2237.648274907861,13309.938361375289,34.68381881713867,0.7827902436256409,4.981322732078297e-08,3150.49853515625,0.0001417464053964175,0.5337334871292114
40,1,0.6,0.060387586,0.0038621402345597744,15.635783195495605,3908.983557452606,61120.019419086086,2270.354248046875,301.6358337402344,2.8754916456819046e-06,532931.75,0.00013931763487484553,0.5245881676673889
37,29,40.0,0.001616876,2.70989603450289e-05,59.665611267089844,1264.9886617223674,75476.32174760298,34.865272521972656,0.20575127005577087,0.018293974921107292,35855.9453125,5.783424226158521e-05,0.21776969730854034
40,3,1.0,0.015368000000000001,0.0023032373283058405,6.672347545623779,6869.182031211657,45833.569866398066,12499.7529296875,542.3348999023438,1.3411192867351929e-06,3792303.75,0.00013871764863277803,0.5223289728164673
40,5,1.4,0.026456329,0.0019280698616057634,13.721664428710938,12039.262509462531,165198.7201240052,24884.380859375,2012.435546875,8.329784577654209e-06,3801609.75,0.0001405635762808855,0.5292796492576599
41,11,3.0,0.0011776660000000002,0.00021465402096509933,5.486345291137695,4733.1875574122805,25967.901267680394,96.27377319335938,5.9738006591796875,2.73578791620821e-07,19620.865234375,0.00013947539185683758,0.5251821875572205
41,9,2.0,0.0012094060000000001,0.00024228911206591874,4.991581916809082,3532.1280940675465,17630.906722200893,383.8172607421875,11.850086212158203,5.673827558894118e-07,59941.95703125,0.0001397818671657226,0.5263361930847168
41,19,8.0,0.001118979,0.0001698847336228937,6.586695194244385,2134.7204407948047,14060.752868438394,32.429203033447266,0.8165081739425659,1.0273273431948837e-07,3616.23828125,0.000141437524000711,0.5325704216957092
41,17,6.0,0.0011481570000000001,0.00019365632033441216,5.928838729858398,2331.4456127414396,13822.765045379892,36.07521438598633,0.9868937730789185,9.841118497888601e-08,2649.856689453125,0.00014123120205576976,0.5317935347557068
40,17,6.0,0.002232724,0.00014628280769102275,15.263065338134766,1902.3121836001687,29035.115151819195,52.23077392578125,0.3199080526828766,0.009018300101161003,22239.3984375,0.00012997170507619016,0.4893968999385834
40,15,5.0,0.0022027260000000003,0.00015439804701600224,14.266539573669434,1993.4355154659272,28439.426668952776,41.49888229370117,18.89006805419922,0.0067658862099051476,2816.662353515625,0.00011906220666678267,0.44831815361976624
40,11,3.0,0.024940998000000002,0.0010286364704370499,24.246658325195312,7326.482958332469,177642.72901605355,2461.135009765625,1330.31884765625,0.03205438703298569,14744.2998046875,2.115172325071872e-05,0.07964493334293365
40,13,4.0,0.009801800999999999,0.00014221449964679778,68.92266082763672,24486.953001649268,1687705.9564349535,36771.546875,2910.85888671875,0.008615360595285892,3411936.0,3.3600658169830096e-05,0.1265202909708023
40,19,8.0,0.0023289879999999997,0.0001242450380232185,18.745119094848633,2580.859853737936,48378.525325431234,43.3509407043457,0.9715006947517395,0.0008064127760007977,43270.3671875,0.00010363002484989849,0.3902096450328827
40,21,10.0,0.002312694,0.00012068689829902723,19.162757873535156,1875.6182183031992,35942.017780535614,59.22496795654297,0.6106243133544922,0.010835317894816399,37556.1796875,0.0001109405318337369,0.4177367091178894
40,27,30.0,0.001553855,6.272424798225984e-05,24.772796630859375,1664.9163963365872,41244.63529382954,22.462160110473633,0.6983925700187683,0.010605587624013424,535.46240234375,7.65937216048145e-05,0.2884068489074707
