# Load-curve quantities extracted from the Excel (run 205, 25 mK), one row per (channel, bias). Units: V in V, I in A, R in Ohm.
channel,bias_V,V_bol_V,I_bol_A,R_bol_Ohm,R_load_Ohm
81,40.000,0.00780484,1.93232e-08,403911,2.069e+09
81,50.000,0.00779519,2.41416e-08,322895,2.069e+09
82,0.600,0.0047847,2.87992e-10,1.6614e+07,2.069e+09
82,1.000,0.00535769,4.84187e-10,1.10653e+07,2.069e+09
82,1.400,0.00569418,6.76605e-10,8.4158e+06,2.069e+09
82,1.800,0.00596231,8.71265e-10,6.84328e+06,2.069e+09
82,2.000,0.0060681,9.67604e-10,6.27127e+06,2.069e+09
82,3.000,0.00647657,1.44871e-09,4.47059e+06,2.069e+09
82,4.000,0.00680563,1.93262e-09,3.52146e+06,2.069e+09
82,5.000,0.00701821,2.41494e-09,2.90616e+06,2.069e+09
82,6.000,0.00717582,2.89908e-09,2.47521e+06,2.069e+09
82,8.000,0.00740475,3.86402e-09,1.91633e+06,2.069e+09
82,10.000,0.00767654,4.83017e-09,1.58929e+06,2.069e+09
82,20.000,0.00864931,9.66509e-09,894903,2.069e+09
82,26.000,0.00907714,1.25634e-08,722509,2.069e+09
82,30.000,0.00931849,1.44976e-08,642760,2.069e+09
82,40.000,0.00980909,1.93269e-08,507535,2.069e+09
82,50.000,0.0101804,2.41441e-08,421654,2.069e+09
83,0.600,0.00319802,2.91412e-10,1.09742e+07,2.069e+09
83,1.000,0.0036317,4.8417e-10,7.50088e+06,2.069e+09
83,1.400,0.00379629,6.75289e-10,5.62173e+06,2.069e+09
83,1.800,0.00389843,8.71141e-10,4.47509e+06,2.069e+09
83,2.000,0.00392217,9.64987e-10,4.06448e+06,2.069e+09
83,3.000,0.00396777,1.44792e-09,2.74032e+06,2.069e+09
83,4.000,0.00395659,1.93408e-09,2.04572e+06,2.069e+09
83,5.000,0.00393766,2.41749e-09,1.62882e+06,2.069e+09
83,6.000,0.00391552,2.89763e-09,1.35128e+06,2.069e+09
83,8.000,0.00387907,3.86291e-09,1.00418e+06,2.069e+09
83,10.000,0.00384838,4.83188e-09,796456,2.069e+09
83,20.000,0.00376299,9.66811e-09,389217,2.069e+09
83,26.000,0.00373753,1.25669e-08,297409,2.069e+09
83,30.000,0.00372154,1.45005e-08,256649,2.069e+09
83,40.000,0.00367585,1.9326e-08,190202,2.069e+09
83,50.000,0.00361975,2.41452e-08,149916,2.069e+09
84,0.600,0.00913788,2.87667e-10,3.17655e+07,2.069e+09
84,1.000,0.00911764,4.81959e-10,1.89179e+07,2.069e+09
84,1.400,0.00899126,6.73494e-10,1.33502e+07,2.069e+09
84,1.800,0.00887514,8.64396e-10,1.02674e+07,2.069e+09
84,2.000,0.00882489,9.62293e-10,9.17069e+06,2.069e+09
84,3.000,0.00864467,1.44888e-09,5.96644e+06,2.069e+09
84,4.000,0.00853434,1.93136e-09,4.41883e+06,2.069e+09
84,5.000,0.00846247,2.41301e-09,3.50703e+06,2.069e+09
84,6.000,0.00841038,2.89859e-09,2.90154e+06,2.069e+09
84,8.000,0.00834382,3.86574e-09,2.1584e+06,2.069e+09
84,10.000,0.00830124,4.82831e-09,1.71928e+06,2.069e+09
84,20.000,0.00822909,9.6643e-09,851494,2.069e+09
84,26.000,0.00822604,1.25604e-08,654920,2.069e+09
84,30.000,0.00822547,1.4496e-08,567429,2.069e+09
84,40.000,0.00821975,1.93262e-08,425316,2.069e+09
84,50.000,0.00820206,2.4143e-08,339728,2.069e+09
85,0.600,0.0147468,2.82563e-10,5.21894e+07,2.069e+09
85,1.000,0.0167513,4.78129e-10,3.5035e+07,2.069e+09
85,1.400,0.0175179,6.69102e-10,2.61812e+07,2.069e+09
85,1.800,0.0178346,8.6022e-10,2.07326e+07,2.069e+09
85,2.000,0.0179341,9.61047e-10,1.8661e+07,2.069e+09
85,3.000,0.0179668,1.44415e-09,1.24411e+07,2.069e+09
85,4.000,0.0177722,1.92602e-09,9.22743e+06,2.069e+09
85,5.000,0.0175763,2.41243e-09,7.28574e+06,2.069e+09
85,6.000,0.0173573,2.89155e-09,6.00275e+06,2.069e+09
85,8.000,0.0170721,3.85812e-09,4.42496e+06,2.069e+09
85,10.000,0.0168547,4.82625e-09,3.4923e+06,2.069e+09
85,20.000,0.0161588,9.53586e-09,1.69453e+06,2.069e+09
85,26.000,0.015869,1.2434e-08,1.27626e+06,2.069e+09
85,30.000,0.0157031,1.43719e-08,1.09263e+06,2.069e+09
85,40.000,0.0153385,1.90695e-08,804346,2.069e+09
85,50.000,0.0150059,2.38882e-08,628171,2.069e+09
