channel,wp,vbias,model,npol,cc,nzer,t0,amp,baseline,tilt,rms,sigma_baseline,params
83,13,4,6p+cc-z4,6,1,4,0.499515,39.2702,0.000312381,0.000954732,0.000334178,0.000241618,0.49951456;39.270223;0.00031238079;0.00095473175;-99999.662;-4.3897882;-15251.305;-136.01357;-352.4504;-1658.0752;-92.841007;-3.6078994;-3957.8729;3006.7625
83,15,5,4p-z2,4,0,2,0.499611,122.752,0.00118641,0.00313104,0.000950124,0.000196796,0.49961071;122.75211;0.0011864144;0.0031310368;-100000;-111.78455;-3444.0393;-2509.5556;-359.63325;-77.691293
83,17,6,6p+cc-z4,6,1,4,0.499598,113.146,0.00124002,0.00320498,0.000954099,0.000205307,0.49959842;113.14616;0.0012400241;0.0032049845;-31842.446;-19263.428;-123.58116;-9674.8779;-2878.6408;-2878.9455;-397.16923;-84.495917;-4875.4561;5723.59
83,19,8,4p-z2,4,0,2,0.499803,2840.06,0.000754989,0.00228251,0.00095679,0.00021105,0.49980268;2840.057;0.00075498904;0.0022825112;-231.56638;-11.020522;-575.60416;-1779.7909;-141.72222;-9.3411915
83,21,10,4p-z2,4,0,2,0.499817,3028.71,0.000806666,0.00241995,0.000941756,0.000227779,0.49981656;3028.7103;0.00080666565;0.0024199451;-257.42784;-11.682657;-639.4089;-1874.1158;-154.53484;-9.7597761
83,23,20,6p+cc-z4,6,1,4,0.499812,619.163,0.000305203,0.000780184,0.000456396,0.000253804,0.49981159;619.16334;0.00030520313;0.0007801835;-1088.8255;-151.30123;-68096.724;-4.717354;-10561.546;-468.13798;-110.83426;-3.1639653;-1868.2852;7.2538615
83,25,26,6p+cc-z4,6,1,4,0.499811,587.229,0.000416509,0.0013469,0.000509423,0.000254163,0.49981147;587.22886;0.00041650949;0.0013469028;-638.87749;-208.40024;-68273.673;-6.2808252;-7885.1695;-3486.2845;-140.62782;-4.2164209;-638.71904;1
83,27,30,6p+cc-z4,6,1,4,0.499813,592.411,0.000387614,0.00125105,0.000491893,0.000261202,0.49981254;592.41101;0.00038761409;0.001251052;-657.59582;-6.3980926;-68337.828;-209.64294;-7585.3056;-3670.8854;-141.3352;-4.1434226;-657.34357;1
83,29,40,4p-z2,4,0,2,0.499878,4695.05,0.000489337,0.00167645,0.000870569,0.000267513,0.49987813;4695.0467;0.00048933698;0.0016764496;-237.88192;-7.6846515;-3117.8911;-751.04602;-154.7875;-4.83254
91,1,0.6,6p+cc-z4,6,1,4,0.499171,47.8935,0.00106017,0.00284493,0.000809162,0.0003424,0.4991707;47.893525;0.0010601737;0.0028449316;-14751.19;-246.0277;-25.743973;-20107.037;-1778.9673;-125.65804;-125.65773;-21.633392;-2144.7303;1768.7446
91,3,1,6p+cc-z4,6,1,4,0.499191,2.03439,0.00076468,0.0021774,0.000719242,0.000168024,0.49919137;2.0343949;0.00076467971;0.0021774015;-99999.971;-99999.971;-467.93911;-39.975995;-2140.3769;-308.22482;-133.63501;-31.910499;-2346.6876;1980.5363
