channel,wp,vbias,signal_amp,sigma_analytic,SNR,BI,J_final,beta_Hz,rho_t,sigma_t_ms
71,3,1.0,0.004887824,0.0001943086535902,25.15494728088379,0.0001304994770545,0.4913841784000397,192.64315379328633,4845.928377693305,0.03284302422308069
71,5,1.4,0.005011591,0.0001801650359993,27.816667556762695,0.0001130554188317,0.4257001280784607,211.23335068748025,5875.807892974709,0.027086478317677087
71,7,1.8,0.004993932,0.0001835062721511,27.213956832885746,0.0001021267825343,0.3845493197441101,246.6581191028696,6712.543405746284,0.023710080288739808
71,9,2.0,0.00494817,0.000179785041837,27.522701263427734,9.85771712919734e-05,0.3711835741996765,253.9598436424589,6989.660909478213,0.02277005210311074
71,11,3.0,0.004643936,0.0001518404897069,30.584306716918945,8.601915516044911e-05,0.3238974809646606,269.51096226931884,8242.805933616817,0.019308345286016042
71,13,4.0,0.004298046,0.0001246361352968,34.4847526550293,7.841877803269756e-05,0.295278936624527,268.5702099711407,9261.57726136407,0.01718443183061614
71,15,5.0,0.004079936,0.0001303542521782,31.2988338470459,7.55343073307536e-05,0.2844177186489105,300.58186613879036,9407.861885712991,0.016917227848932594
71,17,6.0,0.003818313,0.0001183960994239,32.250328063964844,7.185145111584137e-05,0.2705502510070801,308.31712805131036,9943.328527394217,0.01600620382333923
71,19,8.0,0.003363265,0.0001017323738778,33.05992889404297,6.659108839908287e-05,0.2507428228855133,325.6045339030584,10764.462738413113,0.014785219379686182
71,21,10.0,0.0030173459999999,9.846820466918872e-05,30.642845153808594,6.345427142697776e-05,0.2389314174652099,359.698133646123,11022.174211432095,0.01443952345870394
71,23,20.0,0.002002852,5.799613063572906e-05,34.53423309326172,5.482213419409367e-05,0.2064278721809387,392.3240456034871,13548.610038962264,0.011746957262347008
71,25,26.0,0.001679975,4.869571421295405e-05,34.49943923950195,5.222599421538268e-05,0.1966523379087448,412.1840443903099,14220.118394935673,0.011192237551874146
71,27,30.0,0.001507635,4.167340011917986e-05,36.17739486694336,5.104820680151277e-05,0.1922174841165542,407.9943481509778,14760.172636539088,0.010782729105613863
71,29,40.0,0.001215124,3.410458884900436e-05,35.62934112548828,4.887542333937131e-05,0.1840360611677169,425.7207170127308,15168.148650634048,0.010492707235252632
83,1,0.6,0.003334779,0.000103676051367,32.165374755859375,0.0001719078750879,0.6473038196563721,109.79254834961297,3531.518463066111,0.04506700014636619
83,3,1.0,0.003472437,8.361232903553173e-05,41.53020477294922,0.0001472139685963,0.5543211102485657,103.19526379887972,4285.720437165988,0.03713610008522616
83,5,1.4,0.003395297,6.900359585415572e-05,49.20463943481445,0.0001307527176925,0.4923377335071563,101.14316651083105,4976.713039460842,0.03197993169988712
83,7,1.8,0.003248899,6.142611528048292e-05,52.89116668701172,0.0001198729075451,0.4513707756996155,105.02481549426973,5554.885022580072,0.028651347857776687
83,9,2.0,0.003170573,5.73585057281889e-05,55.27641677856445,0.0001157544942122,0.4358632564544678,107.0728413762979,5918.6030055813635,0.026890626545116977
83,11,3.0,0.002789885,4.3937099690083414e-05,63.49724960327149,0.0001029537719873,0.3876632750034332,111.34627685859081,7070.182334084913,0.02251072682024326
83,13,4.0,0.002496163,3.7225239793770015e-05,67.05565643310547,9.371177880762256e-05,0.3528633713722229,118.24772364460722,7929.178730709584,0.020072058973206238
83,15,5.0,0.002248808,3.27275920426473e-05,68.71290588378906,8.825685547821462e-05,0.3323233425617218,125.9838222115598,8656.714518502922,0.018385144011820703
83,17,6.0,0.002058808,3.068729711230844e-05,67.08991241455078,8.508936089913574e-05,0.3203964233398437,134.87473041561603,9048.733850519828,0.017588642314057264
83,19,8.0,0.001788618,2.629794653330464e-05,68.01359558105469,7.907266378546974e-05,0.2977410852909088,144.61906630412918,9836.062688918775,0.016180757293383047
83,21,10.0,0.001586739,2.3321410481003113e-05,68.0378646850586,7.592453662235185e-05,0.2858870923519134,151.95783568807798,10338.886662379817,0.015393818337424436
83,23,20.0,0.001055093,1.770298695191741e-05,59.5997200012207,6.678575190360297e-05,0.2514758110046386,186.2712924314291,11101.716873178675,0.014336065755415508
83,25,26.0,0.000893727,1.6556934497202747e-05,53.97901153564453,6.447565924007233e-05,0.2427773624658584,201.51090156453435,10877.35928011013,0.014631763003628942
83,27,30.0,0.000813756,1.5888901543803513e-05,51.21537399291992,6.445170126372826e-05,0.2426871508359909,206.80314244908064,10591.500283440759,0.015026666556458061
83,29,40.0,0.000670369,1.391576552123297e-05,48.17334747314453,6.276044779887284e-05,0.2363188862800598,220.91911967766913,10642.413515693557,0.014954779088145903
91,1,0.6,0.002080556,8.842932584229857e-05,23.527896881103516,0.000190931268122,0.7189347147941589,84.36298198951287,1984.883540831652,0.0801835169761197
91,3,1.0,0.001998614,7.771865057293326e-05,25.71601676940918,0.0001753266553594,0.6601769328117371,90.79349364532293,2334.84700513637,0.06816504153881366
91,5,1.4,0.001870085,6.815706001361832e-05,27.437875747680664,0.0001704117956295,0.6416704654693604,90.0885954876558,2471.8396892733645,0.06438724314629053
91,7,1.8,0.001754325,6.14946402492933e-05,28.52809715270996,0.0001672678791184,0.6298323273658752,89.80512269017414,2561.9692649163258,0.06212211257619961
91,9,2.0,0.00169956,6.226886034710333e-05,27.293899536132812,0.0001658820522568,0.6246141195297241,95.00549751242703,2593.070504484499,0.06137702110939527
91,11,3.0,0.001483101,6.248857971513644e-05,23.73395347595215,0.0001631182816339,0.61420738697052,113.18504447870733,2686.3285798312145,0.05924626804286736
91,13,4.0,0.001322959,6.062497413950041e-05,21.822011947631836,0.0001640339243056,0.6176551580429077,123.18062027027199,2688.0489672545755,0.05920834963599915
91,15,5.0,0.001194072,5.776224497822113e-05,20.67218589782715,0.0001638468827143,0.6169508695602417,130.84375512251742,2704.8264294624532,0.05884109285471792
91,17,6.0,0.001091107,5.556354153668508e-05,19.637102127075195,0.0001656250441934,0.6236463785171509,135.75626776490847,2665.8596944900737,0.05970117010315448
91,19,8.0,0.000927844,5.711272751796059e-05,16.24583625793457,0.0001675040397058,0.6307215690612793,152.43906034594463,2476.5000136936233,0.06426607801811422
91,21,10.0,0.000809598,5.470791074912995e-05,14.798555374145508,0.0001686833546682,0.6351621747016907,162.28143778156564,2401.530843206448,0.06627228775433786
91,23,20.0,0.000500492,3.943877527490258e-05,12.690353393554688,0.0001677760699823,0.6317458748817444,180.05361277214845,2284.943975864816,0.06965376165586627
91,25,26.0,0.0004055019999999,3.8357557059498504e-05,10.571633338928224,0.0001711173172719,0.6443270444869995,200.0704757253788,2115.0717113136448,0.07524801274612396
91,27,30.0,0.00035906,3.58401593985036e-05,10.018370628356934,0.0001720045301282,0.6476677656173706,203.368882612926,2037.4248402911069,0.07811573705420972
91,29,40.0,0.000280232,3.1169765861704946e-05,8.990507125854492,0.0001678948230305,0.6321930289268494,233.23354274195736,2096.887828009856,0.07590055174431928
